,Text
143,I forgot that @ZmansEnrgyBrain blocked me. https://t.co/ZNGR2v70Sm
144,"@Negative_GW @CapitalObserver @PalmettoCapital or the tenants had made lessons out of more aggressive landlords.

I… https://t.co/IIuHM3SU1j"
145,@Anarcodano @andydicesorkin short away.
146,"@CapitalObserver @PalmettoCapital I know. But shops do not like being in otherwise vacant shopping centres. 

Somet… https://t.co/0iYFYfE59b"
147,"@akedunt @Greenbackd @steveclapham I had Fairfax in court against me. Their lawyer dropped them, and they dropped t… https://t.co/iNjCxFvsAG"
148,@akedunt @Greenbackd @steveclapham no
149,"@PalmettoCapital @CapitalObserver If Starbucks opens over the road your little strip dies, theirs lives."
150,"@CapitalObserver @PalmettoCapital three years, shop next door vacant, you might have a different view."
151,"@CapitalObserver @PalmettoCapital nah, it is for a long time, until shopping centre landlords have bargaining power..."
152,@CapitalObserver @PalmettoCapital I do not think you and I agree on how much the rent concessions will be.
153,"@naomi_rovnick too far long term, fine for COVID."
154,This would make short-selling so much more logical. https://t.co/Zx1ZsQwX0t
155,"@CapitalObserver @PalmettoCapital These are ruthless companies that bluff regularly.

And yes, they will lose one o… https://t.co/Ale5TI45Jm"
156,@robinivski the answer to who is the incremental buyer of Herbalife stock is clear. The company.
157,"@MarkGio1 oh really, facts are different."
158,@Anarcodano @andydicesorkin proud to own the stock.
159,@briefnorris pink sheets baby
160,@andydicesorkin Herbalife works perfectly well in lockdown. Can I interest you in zoom based Herbalife clubs?
161,"@colin_colt @AnVoAU @mcelarier @iimag I realise. Cold win. They have no defence.

I would have to give the winnings to charity."
162,"@colin_colt @AnVoAU @mcelarier @iimag Are you suggesting that I sue them for defamation under Australian law.

Euro… https://t.co/V1F5A8P0fK"
163,@iammarkcarnegie Not bad - but it was context that mattered here. It was drinking night at the canteen and violence… https://t.co/3B2sjJyCGa
164,"@iammarkcarnegie Greasy, slightly burnt."
165,@deanlhunt @anthonypesec I would hope so - but alas I have seen some evidence to the contrary.
166,RT @anthonypesec: Seriously Australia WTF? https://t.co/RLjcfwSKjQ
167,"@MsJuliaMaguire The horror, the horror."
168,@Ken44373622 @tom61031 @INVESTMENTSHULK two bots arguing. What Twitter is really about.
169,"@AnVoAU @mcelarier @iimag No, and no."
170,@AdsadelaideAds Yes.
171,@Makroint Hmmmm...
172,This is big news. There have been breakouts in several regions of China but not the capital. Harbin has been very r… https://t.co/wn8Mk1F9Ta
173,@jonathan22384 nearly bankrupt equities trading near zero and hence with lots of vol.
174,@ClausVistesen @MacrobondF prawns for the barbie.
175,@anasalhajji @gnoble79 When storage is full or nearly full this is likely to be a close-run thing. Small changes in… https://t.co/G7BCDwpFj7
176,"@MayneReport @Pridhamhq Fair. You can do a virtual AGM. You can't do a virtual football match.

If the direction is… https://t.co/QHABeqHmgZ"
177,"@DoNotLose @mcelarier The only part of the story that I want retracted is the assertion that I ""doubled down.

I di… https://t.co/CxNRbNgZTr"
178,@BowringSusie @smh There are huge numbers of kiwis overseas. They came home.
179,@highermoments weakened lungs and lowered resistance.
180,"@TheIdiotTax @hmeisler yes, but the coffee in the office was superior..."
181,"@34bps cold rooms, fluid transfer."
182,@TheIdiotTax @hmeisler I no longer desire to go out for coffee.
183,"@mysticmarkets @hmeisler I have tried several and the output is great from all of them.

Fond of Luxe and Allpress,… https://t.co/EVVrEGof4i"
184,@hmeisler this thing makes nectar for the gods...
185,"@hmeisler I did too. Frickin' wonderful.

https://t.co/9APzP0m6Bc"
186,@LittleMissLizz you should tag your crushes... @lakeithlakeith
187,"@nihoncassandra Franky my dear, I don't give a damn."
